AdultBodyMass,DietBreadth,Diet_Invertebrates,Diet_Vertebrates,Diet_Fruits,Diet_Flowers,Diet_Seeds,Diet_Plants,Diet_Other,TrophicLevel,ActivityCycle,ForagingStratum,MigratoryStatus,IncubationTime,ClutchSize,EggLength,EggWidth,EggMass,NestingHabit,MaxLongevity,Subarid
138.5,2,yes,yes,no,no,no,no,no,3,3,3,no,31,3,3.85,nan,nan,arboreal,nan,1
1050,1,no,yes,no,no,no,no,no,3,2,3,no,39.5,2.5,58.5,46.95,nan,arboreal,nan,1
181,2,yes,yes,no,no,no,no,no,3,3,3,no,35,2.5,38.35,31.9,nan,arboreal,nan,1
292,2,yes,yes,no,no,no,no,no,3,3,3,no,31,1.5,43.7,35.2,29.1,arboreal,nan,1
511,2,yes,yes,no,no,no,no,no,3,3,4,no,35.5,2,54.5,45,nan,arboreal,144,1
725,2,yes,yes,no,no,no,no,no,3,3,1,no,33,2.5,47.55,37.85,36.9,terrestrial,nan,1
700,1,no,yes,no,no,no,no,no,3,3,3,no,40,1.5,nan,nan,nan,arboreal,nan,0
3000,1,no,yes,no,no,no,no,no,3,3,1,no,39.7,2,69.2,52.6,100.9,arboreal,nan,1
650,2,yes,yes,no,no,no,no,no,3,2,4,no,50.5,1,62,46,nan,arboreal,nan,1
567,3,yes,yes,no,no,no,no,yes,2,3,1,yes,32,2.5,51.1,39.15,56,arboreal,288,1
570,2,yes,yes,no,no,no,no,no,3,3,3,no,39,2,53.3,40.55,52.5,arboreal,nan,1
376,3,yes,no,no,no,yes,yes,no,2,3,1,yes,27.5,6,46,34.6,29.85,arboreal,nan,1
559.5,4,yes,no,yes,no,yes,yes,no,2,3,1,no,26.5,10,50.05,38.05,38,terrestrial,nan,1
960.5,3,yes,no,no,no,yes,yes,no,2,3,1,no,28.5,8,56.2,37.4,53.45,terrestrial,nan,1
685,2,yes,no,no,no,yes,no,no,2,3,1,no,27,8,55,40,nan,terrestrial,nan,0
690,4,yes,no,yes,no,yes,yes,no,2,1,1,yes,27.5,7.5,49.1,38.25,35.25,terrestrial,144,1
266,4,yes,yes,no,no,yes,yes,no,2,3,1,no,24.5,9,43.2,33.45,27,arboreal,nan,1
2610,3,yes,no,no,no,yes,yes,no,2,3,1,yes,29,8,62,42.55,51,arboreal,nan,1
280,4,yes,no,yes,no,yes,yes,no,2,2,1,no,26,8.5,44.5,32.5,26.5,aquatic,nan,1
756.5,3,no,no,yes,no,yes,yes,no,1,3,1,yes,25.75,13.17,53.4,40.7,50.25,aquatic,134.4,1
707.5,3,yes,no,no,no,yes,yes,no,2,3,1,no,31,7,61.9,48.3,85.5,aquatic,nan,1
17.9,1,yes,no,no,no,no,no,no,3,3,4,yes,23,2,nan,nan,2.42,manmade structure,nan,0
46.1,1,yes,no,no,no,no,no,no,3,nan,1,no,19.6,2,nan,nan,3.58,aquatic,253,1
42.5,1,yes,no,no,no,no,no,no,3,nan,4,yes,19.6,2,nan,nan,3.58,<NA>,253,0
13.6,1,yes,no,no,no,no,no,no,3,2,4,no,20,2,19.2,12.6,1.36,arboreal,nan,1
98,1,yes,no,no,no,no,no,no,3,1,4,yes,20,3,nan,nan,6.05,manmade structure,312,1
10.5,1,yes,no,no,no,no,no,no,3,3,4,no,nan,nan,nan,nan,nan,arboreal,nan,1
1500,2,yes,no,no,no,no,yes,no,2,3,1,yes,28,1,nan,nan,117.25,terrestrial,492,1
3035,4,yes,yes,no,no,yes,yes,no,2,3,1,yes,29.5,1,nan,nan,142,terrestrial,528,1
76.6,1,yes,no,no,no,no,no,no,3,3,1,no,15.5,6,25.05,17.65,4.45,arboreal,nan,1
52.8,1,yes,no,no,no,no,no,no,3,1,3,no,nan,2,nan,nan,nan,terrestrial,nan,1
41.1,1,yes,no,no,no,no,no,no,3,1,4,no,nan,2,nan,nan,nan,terrestrial,nan,1
325,1,yes,no,no,no,no,no,no,3,2,1,yes,32.5,1,62.75,45.5,45,terrestrial,nan,1
31.2,1,yes,no,no,no,no,no,no,3,2,1,no,nan,1.5,30.05,22.45,8,terrestrial,nan,1
36,1,yes,no,no,no,no,no,no,3,nan,1,yes,24.5,4,nan,nan,7.7,<NA>,156,0
64.05,1,yes,no,no,no,no,no,no,3,2,1,yes,24,4,35.8,25.9,10.9,terrestrial,249.6,1
48.3,1,yes,no,no,no,no,no,no,3,3,1,no,29.5,2.5,31.35,22.6,8.95,terrestrial,228,1
34,1,yes,no,no,no,no,no,no,3,2,1,no,25.5,2,31.45,22,7.75,terrestrial,nan,1
11.5,1,yes,no,no,no,no,no,no,3,3,1,no,27,1.5,32.6,23.7,nan,terrestrial,nan,1
74.8,2,yes,yes,no,no,no,no,no,3,3,1,yes,24,3,38.6,27.7,19.6,terrestrial,nan,1
250,3,yes,no,no,no,yes,yes,no,2,2,1,yes,26.75,4,51.7,36,34.2,terrestrial,307.2,1
92.5,1,yes,no,no,no,no,no,no,3,2,4,yes,nan,1.5,33.9,26.05,nan,terrestrial,nan,1
239,2,yes,no,no,no,yes,no,no,2,3,1,no,nan,1,36.5,25.3,12.7,aquatic,nan,1
84,2,yes,yes,no,no,no,no,no,3,3,1,yes,19,2.5,3.87,nan,16,aquatic,nan,1
66,2,yes,yes,no,no,no,no,no,3,3,1,yes,20,2.8,nan,nan,10.5,aquatic,nan,1
678,2,no,yes,no,no,no,no,yes,2,3,1,yes,24,2.25,nan,nan,65,terrestrial,360,1
381,3,yes,yes,no,no,no,no,yes,2,3,1,yes,nan,3,nan,nan,nan,terrestrial,nan,1
131,2,yes,yes,no,no,no,no,no,3,2,1,yes,30,1,nan,nan,20,terrestrial,214.8,1
173,3,yes,yes,no,no,no,no,yes,2,2,1,yes,28.75,1,nan,nan,40.2,terrestrial,429.6,1
107.5,2,yes,yes,no,no,no,no,no,3,3,1,yes,23.5,2,nan,nan,20.4,terrestrial,308.4,1
121.5,3,yes,yes,no,no,no,no,yes,2,3,1,yes,24.5,2.75,nan,nan,21,terrestrial,396,1
42.5,2,yes,yes,no,no,no,no,no,3,3,1,yes,21.25,2,nan,nan,10,terrestrial,287,1
213.5,2,yes,yes,no,no,no,no,no,3,3,1,yes,23.5,1,nan,nan,37.1,terrestrial,nan,1
370,3,yes,yes,no,no,no,no,yes,2,3,1,yes,27.5,1,nan,nan,60,terrestrial,244.08,1
957,3,yes,yes,no,no,no,no,yes,2,3,1,no,27,2,7.15,4.88,84.2,terrestrial,157,1
161,3,yes,yes,no,no,yes,no,no,2,3,1,yes,25.5,4.5,41.5,30.5,21.8,terrestrial,122.4,1
121,2,yes,no,no,no,yes,no,no,2,2,1,no,18,3.5,35.6,25,13,terrestrial,nan,1
48,3,yes,yes,no,no,no,yes,no,2,2,1,yes,21.5,4,36.4,26.3,12.5,terrestrial,174,1
